Geneid	Control_1	Control_2	Treat_1	Treat_2
ENSDARG00000103474	0	0	0	0
ENSDARG00000038378	5394	7180	5359	5421
ENSDARG00000057408	1269	1080	1147	989
ENSDARG00000027602	289	251	288	280
ENSDARG00000097332	0	0	0	0
ENSDARG00000097973	478	570	488	480
ENSDARG00000088885	663	696	822	701
ENSDARG00000096990	394	540	467	500
ENSDARG00000097635	2292	2854	1933	2394
ENSDARG00000017217	266	354	197	217
ENSDARG00000011463	73	51	67	87
ENSDARG00000087950	2837	3323	3143	2969
ENSDARG00000012184	430	437	416	349
ENSDARG00000097671	0	0	0	0
ENSDARG00000040615	219	282	255	272
ENSDARG00000060439	1075	868	812	896
ENSDARG00000097171	0	0	1	1
ENSDARG00000006110	155	203	133	165
ENSDARG00000097656	0	0	0	0
ENSDARG00000097867	0	0	0	0
ENSDARG00000081844	0	0	0	0
ENSDARG00000104983	0	0	0	0
ENSDARG00000101723	0	0	0	0
ENSDARG00000098847	0	0	0	0
ENSDARG00000084002	0	0	0	0
ENSDARG00000098432	723	806	814	802
ENSDARG00000101985	130	138	143	105
ENSDARG00000101186	53	49	45	32
ENSDARG00000098116	307	255	301	273
ENSDARG00000101285	506	473	488	512
ENSDARG00000102442	643	686	630	642
ENSDARG00000088463	157	145	161	163
ENSDARG00000090232	716	859	507	479
ENSDARG00000007406	527	553	496	497
ENSDARG00000104222	1967	2123	2263	2037
ENSDARG00000088083	1675	1581	1550	1470
ENSDARG00000045976	2850	2409	2294	2428
ENSDARG00000104615	1209	1178	1131	1025
ENSDARG00000086356	294	290	346	344
ENSDARG00000097022	0	0	0	0
ENSDARG00000097718	276	270	250	259
ENSDARG00000089563	5	5	4	2
ENSDARG00000097542	54	58	42	97
ENSDARG00000060512	135	148	127	135
ENSDARG00000068289	4171	4632	3884	4119
ENSDARG00000068436	14028	14428	15091	14425
ENSDARG00000068434	3621	3944	3512	3338
ENSDARG00000075664	210	136	332	431
ENSDARG00000006585	216	182	230	181
ENSDARG00000043483	1518	1662	1587	1271
ENSDARG00000043899	135	205	155	190
ENSDARG00000086735	4307	5225	4183	4283
ENSDARG00000079064	489	479	562	449
ENSDARG00000060549	331	441	332	310
ENSDARG00000067668	282	249	227	248
ENSDARG00000102724	81	81	86	122
ENSDARG00000105166	0	0	1	2
ENSDARG00000104848	218	315	242	305
ENSDARG00000098834	1145	1205	1207	1302
ENSDARG00000088689	188	260	205	218
ENSDARG00000035648	290	316	253	232
ENSDARG00000044719	2279	2787	1983	1889
ENSDARG00000004219	218	245	224	210
ENSDARG00000001785	780	828	586	552
ENSDARG00000101831	871	800	735	682
ENSDARG00000074646	49	38	46	24
ENSDARG00000082551	0	0	0	0
ENSDARG00000074676	844	903	1005	928
ENSDARG00000075385	459	488	544	595
ENSDARG00000063407	703	732	817	691
ENSDARG00000006983	769	877	732	670
ENSDARG00000058992	499	556	749	679
ENSDARG00000023316	114	103	129	85
ENSDARG00000098698	0	0	0	0
ENSDARG00000086678	699	844	1003	1014
ENSDARG00000082317	0	0	0	0
ENSDARG00000099788	0	0	0	0
ENSDARG00000087759	133	153	221	210
ENSDARG00000062310	822	815	801	678
ENSDARG00000077145	1344	1468	1254	1142
ENSDARG00000101602	889	1095	909	862
ENSDARG00000088764	185	197	160	145
ENSDARG00000081540	0	0	0	0
ENSDARG00000027087	287	274	291	337
ENSDARG00000058945	0	2	4	4
ENSDARG00000073784	216	262	160	131
ENSDARG00000076541	84	127	74	70
ENSDARG00000058943	159	149	212	253
ENSDARG00000075337	117	146	189	176
ENSDARG00000080370	0	0	0	0
ENSDARG00000062280	629	605	538	574
ENSDARG00000051912	635	477	1226	807
ENSDARG00000062286	1	0	0	0
ENSDARG00000095511	1	1	0	0
ENSDARG00000093127	0	0	0	0
ENSDARG00000059409	44	44	32	33
ENSDARG00000087867	170	183	141	146
ENSDARG00000077964	1257	1502	1317	1149
ENSDARG00000090570	0	0	0	2
ENSDARG00000091731	0	0	0	0
ENSDARG00000020898	382	374	382	441
ENSDARG00000045959	88	82	174	176
ENSDARG00000003197	387	454	415	437
ENSDARG00000077715	364	302	355	283
ENSDARG00000095787	0	0	0	0
ENSDARG00000097659	0	0	2	0
ENSDARG00000005271	62	72	104	147
ENSDARG00000095831	375	400	376	360
ENSDARG00000091817	228	163	134	117
ENSDARG00000103683	1534	1526	1270	1470
ENSDARG00000102898	44	45	46	62
ENSDARG00000041428	222	387	308	269
ENSDARG00000013478	611	830	722	647
ENSDARG00000096174	2	2	0	0
ENSDARG00000103542	435	427	422	426
ENSDARG00000004964	2100	1812	1576	1632
ENSDARG00000058885	12	11	10	16
ENSDARG00000022430	789	952	1064	1053
ENSDARG00000085786	0	2	0	0
ENSDARG00000089572	538	562	422	501
ENSDARG00000041340	1105	1194	1318	1236
ENSDARG00000021855	1760	1742	2163	1944
ENSDARG00000004328	4	8	4	4
ENSDARG00000096170	0	0	0	0
ENSDARG00000032326	406	542	455	425
ENSDARG00000010130	1239	875	1046	997
ENSDARG00000058964	87	63	67	102
ENSDARG00000037188	557	586	727	622
ENSDARG00000026178	182	205	228	211
ENSDARG00000037186	329	443	433	413
ENSDARG00000074424	1844	2087	2161	1894
ENSDARG00000085551	0	0	0	0
ENSDARG00000037183	109	114	107	90
ENSDARG00000014676	1531	1996	1794	1620
ENSDARG00000081104	0	0	0	0
ENSDARG00000081734	0	0	0	0
ENSDARG00000041361	244	353	478	420
ENSDARG00000041363	1633	1828	1400	1367
ENSDARG00000006773	741	756	839	610
ENSDARG00000063311	0	0	0	0
ENSDARG00000097245	26	35	23	18
ENSDARG00000088571	39	54	43	28
ENSDARG00000021987	6397	8697	7114	6528
ENSDARG00000089435	53	79	66	56
ENSDARG00000018980	393	398	353	436
ENSDARG00000103037	3	0	4	11
ENSDARG00000028800	445	449	447	372
ENSDARG00000041382	327	312	309	273
ENSDARG00000017785	258	271	198	161
ENSDARG00000041400	1635	2247	1564	1691
ENSDARG00000070810	361	402	375	401
ENSDARG00000041304	1222	1313	1219	1138
ENSDARG00000099393	0	0	0	0
ENSDARG00000004176	73	92	84	97
ENSDARG00000104558	0	0	0	0
ENSDARG00000102516	42	34	60	61
ENSDARG00000014571	11102	11927	12217	11440
ENSDARG00000063162	30	27	46	33
ENSDARG00000058732	250	220	246	316
ENSDARG00000041314	3526	3831	4329	4129
ENSDARG00000029356	471	452	357	390
ENSDARG00000095883	4	6	2	0
ENSDARG00000095808	14	3	8	6
ENSDARG00000079613	477	545	401	395
ENSDARG00000097428	0	0	0	0
ENSDARG00000104313	0	0	0	0
ENSDARG00000087536	353	374	442	392
ENSDARG00000095890	767	795	745	692
ENSDARG00000089413	4463	4625	4313	4455
ENSDARG00000095869	3	7	3	8
ENSDARG00000075819	979	1103	1021	852
ENSDARG00000103567	0	0	1	0
ENSDARG00000070798	56	79	105	116
ENSDARG00000070795	688	719	657	625
ENSDARG00000079217	293	291	297	265
ENSDARG00000101980	599	513	556	538
ENSDARG00000095946	34	38	29	37
ENSDARG00000058597	2232	2199	1655	1960
ENSDARG00000097033	61	46	61	50
ENSDARG00000058593	1976	1906	2642	2695
ENSDARG00000100486	131	144	140	89
ENSDARG00000041237	133	203	201	159
ENSDARG00000023396	1042	1064	1016	1120
ENSDARG00000002445	707	782	798	679
ENSDARG00000095852	0	2	0	0
ENSDARG00000044605	1333	1365	1360	1274
ENSDARG00000058551	188	197	214	242
ENSDARG00000058548	576	707	793	692
ENSDARG00000058532	3	3	9	5
ENSDARG00000095842	0	2	3	2
ENSDARG00000070755	0	15	0	0
ENSDARG00000058528	635	646	656	600
ENSDARG00000075593	2150	2544	2020	1991
ENSDARG00000079881	865	1050	1012	892
ENSDARG00000080163	0	0	2	0
ENSDARG00000099189	122	105	212	149
ENSDARG00000057736	1280	1323	1372	1340
ENSDARG00000070832	2758	2964	3017	2801
ENSDARG00000010941	375	394	367	343
ENSDARG00000104454	0	0	0	0
ENSDARG00000076862	403	374	358	331
ENSDARG00000035309	981	1006	1048	1112
ENSDARG00000104957	0	0	0	0
ENSDARG00000016494	1147	1159	1078	1031
ENSDARG00000035308	187	217	82	71
ENSDARG00000084391	0	0	0	0
ENSDARG00000091006	1751	1962	2015	1829
ENSDARG00000004532	0	0	0	0
ENSDARG00000079829	12	11	15	13
ENSDARG00000086616	3	6	8	21
ENSDARG00000000370	2814	3266	2926	2274
ENSDARG00000087373	111	151	112	101
ENSDARG00000058392	600	670	543	466
ENSDARG00000058461	620	698	631	586
ENSDARG00000095789	2	12	2	6
ENSDARG00000086425	959	1083	1166	983
ENSDARG00000078162	17	13	22	12
ENSDARG00000095943	33	11	21	28
ENSDARG00000061697	141	120	109	108
ENSDARG00000102307	1313	1279	1307	1105
ENSDARG00000058319	130	164	119	128
ENSDARG00000011257	447	598	457	387
ENSDARG00000077637	306	192	206	230
ENSDARG00000104752	203	158	113	135
ENSDARG00000105239	987	887	954	923
ENSDARG00000024642	654	652	561	437
ENSDARG00000023279	1239	1388	1373	1462
ENSDARG00000058351	58	139	42	53
ENSDARG00000097576	408	373	157	112
ENSDARG00000058342	584	500	394	509
ENSDARG00000070688	2073	2677	1775	1841
ENSDARG00000045131	704	1001	655	694
ENSDARG00000016481	541	579	581	599
ENSDARG00000104831	201	255	359	286
ENSDARG00000103804	0	0	0	0
ENSDARG00000062872	374	303	224	181
ENSDARG00000037998	8103	7518	7490	7593
ENSDARG00000037997	5466	6211	6365	5844
ENSDARG00000086764	870	959	993	1031
ENSDARG00000058248	556	511	549	381
ENSDARG00000022939	452	454	391	310
ENSDARG00000101892	1105	890	920	872
ENSDARG00000044575	1276	1639	1726	1528
ENSDARG00000078929	1009	1169	918	1039
ENSDARG00000100809	11	18	8	9
ENSDARG00000062831	630	834	918	763
ENSDARG00000091385	130	146	118	117
ENSDARG00000104139	7907	8502	7556	7181
ENSDARG00000098323	2	1	0	0
ENSDARG00000004171	1234	1323	1536	1636
ENSDARG00000002758	3477	3868	2254	2957
ENSDARG00000093482	1141	1344	926	971
ENSDARG00000019658	431	459	449	328
ENSDARG00000062801	1741	1685	1830	1505
ENSDARG00000094933	50	33	22	31
ENSDARG00000055502	3196	3784	2893	2552
ENSDARG00000077143	385	455	466	426
ENSDARG00000092637	8	25	44	19
ENSDARG00000015681	2517	2774	2778	2591
ENSDARG00000087074	235	274	318	284
ENSDARG00000097130	0	2	0	0
ENSDARG00000101449	661	660	563	525
ENSDARG00000076981	304	263	190	201
ENSDARG00000095772	8	10	7	0
ENSDARG00000093279	80	66	59	65
ENSDARG00000078177	46	93	7	11
ENSDARG00000095134	14	8	23	27
ENSDARG00000092520	72	79	23	10
ENSDARG00000095048	194	246	50	48
ENSDARG00000041119	4382	4724	3210	3327
ENSDARG00000091864	8	6	5	9
ENSDARG00000058047	2277	2322	1618	1579
ENSDARG00000092169	14	23	13	12
ENSDARG00000058045	22	54	110	113
ENSDARG00000041115	438	363	483	532
ENSDARG00000041041	127	128	161	289
ENSDARG00000070669	286	219	196	224
ENSDARG00000007358	21	29	20	18
ENSDARG00000070668	21	8	19	22
ENSDARG00000073950	12	7	6	12
ENSDARG00000079769	0	0	0	0
ENSDARG00000014517	3011	3511	3333	2969
ENSDARG00000057879	246	217	323	363
ENSDARG00000004358	1453	1870	1743	1321
ENSDARG00000070656	497	480	874	754
ENSDARG00000070654	1180	1374	1234	1175
ENSDARG00000073883	6178	7717	5541	4728
ENSDARG00000075178	1687	1838	1715	1754
ENSDARG00000040988	14203	17577	15866	15824
ENSDARG00000082127	0	0	0	0
ENSDARG00000081015	1	2	2	2
ENSDARG00000082384	3	0	3	0
ENSDARG00000083638	1	2	0	2
ENSDARG00000076805	8228	6114	5747	6669
ENSDARG00000040971	3611	4125	2733	3136
ENSDARG00000088023	134	140	81	59
ENSDARG00000014496	767	758	461	432
ENSDARG00000080835	0	0	0	0
ENSDARG00000057729	420	495	329	293
ENSDARG00000037861	177	188	160	235
ENSDARG00000037860	10414	12723	10334	11307
ENSDARG00000074829	185	143	220	273
ENSDARG00000097007	2	0	0	0
ENSDARG00000037859	17	11	52	53
ENSDARG00000090962	266	265	320	256
ENSDARG00000015734	0	0	2	0
ENSDARG00000090560	170	155	223	225
ENSDARG00000057687	173	175	186	190
ENSDARG00000010411	3258	3149	3175	3279
ENSDARG00000057680	473	464	563	588
ENSDARG00000013371	867	802	759	783
ENSDARG00000012505	1920	2306	1830	1687
ENSDARG00000046079	408	530	461	342
ENSDARG00000070626	993	1221	915	879
ENSDARG00000070624	240	245	190	190
ENSDARG00000004561	102	107	84	69
ENSDARG00000070620	215	248	194	136
ENSDARG00000022807	905	797	653	630
ENSDARG00000088881	539	1128	1042	478
ENSDARG00000094614	0	0	0	0
ENSDARG00000078220	22	36	29	29
ENSDARG00000040944	2280	2246	2364	2412
ENSDARG00000057652	2830	3125	2395	2252
ENSDARG00000014825	2916	3124	2555	2350
ENSDARG00000062462	691	757	692	626
ENSDARG00000092615	2	0	1	1
ENSDARG00000031775	799	817	927	844
ENSDARG00000057626	818	954	610	687
ENSDARG00000076804	2702	3131	2420	2165
ENSDARG00000062374	263	484	407	388
ENSDARG00000062385	1505	1990	1436	1383
ENSDARG00000077176	378	444	516	544
ENSDARG00000095495	0	0	0	0
ENSDARG00000004806	520	708	662	610
ENSDARG00000062390	793	701	882	927
ENSDARG00000069545	251	227	164	185
ENSDARG00000038052	55	43	72	62
ENSDARG00000019902	15107	18955	12555	11927
ENSDARG00000095047	4	2	7	8
ENSDARG00000091934	0	0	0	0
ENSDARG00000070604	22	11	20	27
ENSDARG00000094385	11	8	6	2
ENSDARG00000094759	0	0	0	0
ENSDARG00000040890	1081	1066	1552	1793
ENSDARG00000095688	9	1	0	0
ENSDARG00000078125	2887	3678	2668	2573
ENSDARG00000062429	312	400	277	185
ENSDARG00000090817	3	0	0	0
ENSDARG00000088741	2214	2703	1951	1750
ENSDARG00000078500	684	840	800	906
ENSDARG00000076058	533	587	398	432
ENSDARG00000062450	1336	1439	1255	1105
ENSDARG00000057562	319	379	341	335
ENSDARG00000002507	824	797	888	748
ENSDARG00000073978	1240	1511	1411	1066
ENSDARG00000097425	174	171	200	193
ENSDARG00000094303	0	2	2	0
ENSDARG00000019907	136	202	168	224
ENSDARG00000040930	2371	2587	2411	2252
ENSDARG00000005762	844	897	664	621
ENSDARG00000056903	553	610	610	548
ENSDARG00000090447	154	164	193	177
ENSDARG00000041729	514	685	609	623
ENSDARG00000036987	82	109	137	114
ENSDARG00000102085	2	0	5	0
ENSDARG00000098827	0	2	0	0
ENSDARG00000104445	0	0	0	0
ENSDARG00000104466	7	1	0	5
ENSDARG00000103486	0	5	0	1
ENSDARG00000100674	1353	1497	1204	1184
ENSDARG00000076829	1774	2050	1646	1505
ENSDARG00000002311	235	228	254	283
ENSDARG00000084546	1	0	0	0
ENSDARG00000033234	6367	7022	6019	5741
ENSDARG00000040869	371	393	337	315
ENSDARG00000078754	30	36	38	43
ENSDARG00000079717	1045	1066	883	1032
ENSDARG00000062244	3567	4172	3925	3319
ENSDARG00000057143	125	130	231	153
ENSDARG00000098641	164	267	228	232
ENSDARG00000101907	0	0	0	0
ENSDARG00000023003	107	115	118	118
ENSDARG00000053431	823	1024	713	726
ENSDARG00000097730	0	0	0	0
ENSDARG00000097712	269	303	276	208
ENSDARG00000037550	107	75	80	102
ENSDARG00000001760	793	676	701	796
ENSDARG00000038424	496	434	2123	1970
ENSDARG00000080677	0	0	1	0
ENSDARG00000040816	56	60	43	63
ENSDARG00000075914	189	207	152	113
ENSDARG00000073732	950	1242	1105	904
ENSDARG00000094040	0	2	0	1
ENSDARG00000075517	91	124	102	124
ENSDARG00000029533	46418	52355	40394	44557
ENSDARG00000086056	73	80	75	71
ENSDARG00000097426	59	66	70	61
ENSDARG00000018569	754	781	1042	1002
ENSDARG00000102103	3	0	2	2
ENSDARG00000094366	42	32	16	26
ENSDARG00000062108	809	818	705	624
ENSDARG00000083412	104	129	105	81
ENSDARG00000104231	544	549	374	367
ENSDARG00000043457	107836	124813	94230	108552
ENSDARG00000043460	265	351	249	259
ENSDARG00000043304	942	1266	1320	1319
ENSDARG00000083842	3	3	4	6
ENSDARG00000084449	1	1	4	1
ENSDARG00000043301	97	101	100	107
ENSDARG00000056914	308	401	384	442
ENSDARG00000076950	51	52	61	52
ENSDARG00000075733	1084	1053	1270	1124
ENSDARG00000070575	200	223	217	197
ENSDARG00000012269	180	259	230	192
ENSDARG00000085151	0	0	0	0
ENSDARG00000062052	578	615	542	547
ENSDARG00000084300	2	0	0	0
ENSDARG00000018432	1095	1146	1161	1111
ENSDARG00000004211	1886	2009	1589	1634
ENSDARG00000090478	59	70	43	56
ENSDARG00000079530	616	698	588	594
ENSDARG00000083122	12	18	12	4
ENSDARG00000079255	416	511	456	460
ENSDARG00000095796	808	1016	943	1227
ENSDARG00000061621	227	222	274	207
ENSDARG00000087195	55	45	34	64
ENSDARG00000091144	41	37	32	29
ENSDARG00000035797	39	59	42	47
ENSDARG00000104474	498	353	476	482
ENSDARG00000101633	646	658	488	383
ENSDARG00000105264	0	0	0	1
ENSDARG00000091775	5	6	0	10
ENSDARG00000002006	732	698	596	622
ENSDARG00000095033	0	1	2	0
ENSDARG00000061904	867	1086	859	721
ENSDARG00000081132	0	0	0	0
ENSDARG00000056719	5932	4321	5951	6036
ENSDARG00000056750	53	70	55	33
ENSDARG00000094999	2	13	4	5
ENSDARG00000074307	410	404	372	352
ENSDARG00000095353	0	2	5	1
ENSDARG00000094282	78	120	93	77
ENSDARG00000080645	0	0	0	2
ENSDARG00000077384	10	13	20	8
ENSDARG00000093927	0	0	0	0
ENSDARG00000056666	347	365	390	258
ENSDARG00000021787	10364	11527	9594	10089
ENSDARG00000040717	581	687	647	716
ENSDARG00000090140	135	106	79	131
ENSDARG00000076010	377	381	358	315
ENSDARG00000056642	1093	1074	962	913
ENSDARG00000020046	52	34	44	61
ENSDARG00000009023	1509	1558	1432	1441
ENSDARG00000020529	625	555	595	517
ENSDARG00000019692	792	844	735	713
ENSDARG00000040698	876	914	918	947
ENSDARG00000040695	308	321	431	391
ENSDARG00000095615	893	986	519	417
ENSDARG00000011845	533	565	434	347
ENSDARG00000056480	2321	2593	2842	2693
ENSDARG00000070536	148	131	157	125
ENSDARG00000056793	187	204	217	139
ENSDARG00000056856	5612	6360	5321	4973
ENSDARG00000007959	1851	2058	1966	1868
ENSDARG00000103499	0	0	0	0
ENSDARG00000036254	76	98	72	50
ENSDARG00000007009	108	169	160	125
ENSDARG00000031337	271	419	270	224
ENSDARG00000081098	0	0	0	0
ENSDARG00000056819	181	244	190	139
ENSDARG00000023031	217	222	192	236
ENSDARG00000096565	4	2	3	0
ENSDARG00000000906	173	167	165	180
ENSDARG00000040474	76	46	36	47
ENSDARG00000092158	2586	3137	2286	2241
ENSDARG00000091627	94	101	40	34
ENSDARG00000006151	160	155	170	133
ENSDARG00000040482	560	547	464	502
ENSDARG00000040485	414	348	440	358
ENSDARG00000056892	1230	1550	1343	1229
ENSDARG00000084040	0	0	0	0
ENSDARG00000056339	38	37	25	23
ENSDARG00000078523	1330	1397	1276	1144
ENSDARG00000061789	1917	1935	1590	1585
ENSDARG00000089032	634	747	579	577
ENSDARG00000099846	386	475	422	389
ENSDARG00000099965	151	161	132	119
ENSDARG00000022788	1262	1304	1324	1337
ENSDARG00000056379	565	535	453	592
ENSDARG00000061762	316	364	273	335
ENSDARG00000097470	49	55	41	41
ENSDARG00000098038	0	0	3	2
ENSDARG00000087706	0	2	0	0
ENSDARG00000097124	0	0	0	0
ENSDARG00000087509	0	2	2	3
ENSDARG00000104422	0	0	0	0
ENSDARG00000041221	4	1	3	5
ENSDARG00000099674	57	23	49	93
ENSDARG00000099021	1748	1854	1987	1868
ENSDARG00000102774	687	689	575	618
ENSDARG00000080675	412	567	340	218
ENSDARG00000092801	0	0	0	0
ENSDARG00000095522	0	0	0	0
ENSDARG00000093926	2	3	4	5
ENSDARG00000092020	6	4	4	15
ENSDARG00000099216	86	89	91	66
ENSDARG00000007086	301	235	231	359
ENSDARG00000078387	242	268	195	193
ENSDARG00000055613	478	516	452	457
ENSDARG00000061242	1607	1774	1906	1805
ENSDARG00000093248	2	0	2	4
ENSDARG00000055607	392	475	409	315
ENSDARG00000095062	0	0	0	0
ENSDARG00000087956	798	801	865	726
ENSDARG00000017790	1001	1047	863	850
ENSDARG00000055589	2401	2545	1705	1507
ENSDARG00000089441	2532	2447	2426	2513
ENSDARG00000026663	3	8	8	6
ENSDARG00000070392	4	1	3	2
ENSDARG00000011824	2814	2883	2407	2482
ENSDARG00000095553	65	137	28	27
ENSDARG00000075437	1616	1679	1765	1786
ENSDARG00000070390	752	850	973	841
ENSDARG00000090427	202	244	205	237
ENSDARG00000097001	0	0	0	0
ENSDARG00000098295	334	310	307	292
ENSDARG00000018787	2561	3055	2065	1976
ENSDARG00000015158	170	140	178	211
ENSDARG00000093904	5	2	2	0
ENSDARG00000103199	1650	2560	2926	4243
ENSDARG00000012367	595	624	551	470
ENSDARG00000070386	764	717	924	1073
ENSDARG00000025254	4398	4359	4642	5951
ENSDARG00000101181	1209	1315	1180	1220
ENSDARG00000009978	18507	18819	13795	15304
ENSDARG00000055514	8866	9513	4759	5119
ENSDARG00000016977	574	630	593	512
ENSDARG00000012389	1582	1873	1801	1637
ENSDARG00000104544	0	0	0	0
ENSDARG00000019753	653	712	685	621
ENSDARG00000080572	0	0	2	0
ENSDARG00000055475	18490	21364	13806	15262
ENSDARG00000034771	377	392	493	417
ENSDARG00000079008	832	927	903	686
ENSDARG00000040303	293	350	338	338
ENSDARG00000040302	132	111	61	47
ENSDARG00000055446	6	3	0	5
ENSDARG00000040300	656	661	544	524
ENSDARG00000040298	14316	13577	13524	14610
ENSDARG00000020866	16424	15654	16093	18171
ENSDARG00000094929	1630	1338	1549	1827
ENSDARG00000095050	49	95	215	288
ENSDARG00000040295	43619	39240	46530	55082
ENSDARG00000092170	17955	14955	23815	26309
ENSDARG00000075614	21	22	16	34
ENSDARG00000015866	67202	55025	68286	77147
ENSDARG00000092155	11996	10792	13343	14376
ENSDARG00000090190	1509	1603	1587	1694
ENSDARG00000030602	35405	40313	31459	35481
ENSDARG00000040291	3261	3286	2786	2658
ENSDARG00000080201	0	0	0	0
ENSDARG00000097689	0	0	0	0
ENSDARG00000079175	1226	1341	1115	1170
ENSDARG00000090679	437	464	386	329
ENSDARG00000097110	1042	1131	1060	882
ENSDARG00000097057	4563	5221	4108	3940
ENSDARG00000055400	1095	1309	986	779
ENSDARG00000032496	463	433	269	333
ENSDARG00000097789	187	208	79	98
ENSDARG00000040290	723	674	503	563
ENSDARG00000016856	989	972	908	985
ENSDARG00000040287	12975	14175	13188	12865
ENSDARG00000089123	260	288	220	202
ENSDARG00000076627	435	465	504	490
ENSDARG00000078018	137	96	100	97
ENSDARG00000086091	30	30	59	62
ENSDARG00000040284	380	1149	1572	1761
ENSDARG00000097225	3	3	4	2
ENSDARG00000082825	0	0	0	0
ENSDARG00000097396	2	6	4	4
ENSDARG00000083123	0	0	0	1
ENSDARG00000097454	11	16	18	15
ENSDARG00000042983	40	25	16	8
ENSDARG00000042984	257	141	244	207
ENSDARG00000042989	1242	1373	1147	1134
ENSDARG00000098016	4	6	5	2
ENSDARG00000042969	4253	4828	4677	4140
ENSDARG00000104158	0	2	1	0
ENSDARG00000086626	1444	1437	1454	1203
ENSDARG00000097863	881	865	954	805
ENSDARG00000042993	121074	106408	79047	87141
ENSDARG00000097284	988	1180	926	874
ENSDARG00000022952	1162	1078	1015	1012
ENSDARG00000104641	956	970	619	665
ENSDARG00000040282	408	1145	2	6
ENSDARG00000090267	3	4	0	2
ENSDARG00000097819	1361	1530	1340	1016
ENSDARG00000078164	1076	1227	1222	1061
ENSDARG00000087530	486	515	516	513
ENSDARG00000092074	32	22	21	19
ENSDARG00000094894	55	76	35	29
ENSDARG00000040280	311	298	271	355
ENSDARG00000040278	617	1239	860	815
ENSDARG00000040277	1232	2127	1440	1774
ENSDARG00000055288	141	196	156	136
ENSDARG00000096959	23	20	8	8
ENSDARG00000074623	671	669	642	510
ENSDARG00000060948	911	965	878	816
ENSDARG00000097388	8	6	0	0
ENSDARG00000081529	0	0	0	0
ENSDARG00000083528	0	0	0	0
ENSDARG00000077987	440	442	379	323
ENSDARG00000073705	205	191	203	174
ENSDARG00000060937	593	580	620	577
ENSDARG00000031876	16	13	22	24
ENSDARG00000029259	215	252	253	217
ENSDARG00000060925	830	905	891	738
ENSDARG00000055115	1291	1509	1240	1228
ENSDARG00000055118	1036	1081	1145	1176
ENSDARG00000060862	3360	3815	2807	2693
ENSDARG00000004308	521	532	440	426
ENSDARG00000055138	259	207	259	273
ENSDARG00000055162	1063	1088	997	1032
ENSDARG00000021905	1585	1823	1528	1656
ENSDARG00000076379	168	187	224	167
ENSDARG00000092112	1909	2238	2162	2119
ENSDARG00000018425	2914	3309	3522	3344
ENSDARG00000087832	57	53	93	110
ENSDARG00000078217	215	231	231	365
ENSDARG00000086847	165	158	193	175
ENSDARG00000070317	63	70	69	89
ENSDARG00000102281	0	0	0	4
ENSDARG00000014975	5	8	0	2
ENSDARG00000090707	117	154	74	98
ENSDARG00000103940	313	248	223	187
ENSDARG00000095944	2	2	0	0
ENSDARG00000079274	88301	77478	61376	67316
ENSDARG00000073742	95382	72489	62672	74045
ENSDARG00000075677	418	527	467	440
ENSDARG00000088342	437	435	302	313
ENSDARG00000101145	371	409	497	450
ENSDARG00000037473	10	8	6	6
ENSDARG00000055837	3802	4117	4342	3720
ENSDARG00000086892	323	362	271	291
ENSDARG00000088497	382	488	407	287
ENSDARG00000079751	2677	3779	2843	2394
ENSDARG00000083007	0	0	1	0
ENSDARG00000021021	1089	1140	1143	1138
ENSDARG00000029019	419	459	503	445
ENSDARG00000092040	1	0	0	0
ENSDARG00000093592	16	9	2	5
ENSDARG00000074346	563	608	650	575
ENSDARG00000006598	249	284	513	562
ENSDARG00000055784	1848	1779	1610	1750
ENSDARG00000097773	52	52	66	52
ENSDARG00000061398	330	339	322	358
ENSDARG00000093694	2	2	4	2
ENSDARG00000092295	27	39	25	34
ENSDARG00000011245	2374	2393	1851	1834
ENSDARG00000075824	1953	2054	2081	2019
ENSDARG00000073918	387	427	286	269
ENSDARG00000092134	87	97	115	107
ENSDARG00000101437	29	29	19	31
ENSDARG00000097757	0	0	0	0
ENSDARG00000029112	356	387	276	280
ENSDARG00000005112	5418	5768	6062	6204
ENSDARG00000076308	620	701	622	577
ENSDARG00000092407	89	62	82	140
ENSDARG00000055730	32	23	13	14
ENSDARG00000055719	591	706	505	531
ENSDARG00000061335	1618	1811	1849	1796
ENSDARG00000070455	614	691	492	511
ENSDARG00000019008	2551	2705	2506	2718
ENSDARG00000070399	267	320	385	393
ENSDARG00000076568	3002	2735	2767	2913
ENSDARG00000055854	323	506	681	738
ENSDARG00000093331	2	6	4	2
ENSDARG00000006869	252	214	221	195
ENSDARG00000002213	269	272	334	276
ENSDARG00000055885	895	993	1092	926
ENSDARG00000091631	849	828	799	779
ENSDARG00000055889	156	143	209	198
ENSDARG00000076752	672	661	485	409
ENSDARG00000094881	20	22	66	56
ENSDARG00000094193	5	9	0	14
ENSDARG00000093760	264	272	405	376
ENSDARG00000016837	131	152	206	182
ENSDARG00000012347	1420	1388	1216	1119
ENSDARG00000074807	579	774	725	654
ENSDARG00000055901	913	896	1322	1206
ENSDARG00000103396	39	40	38	30
ENSDARG00000102683	2	2	0	8
ENSDARG00000089480	851	1069	1091	891
ENSDARG00000028715	1129	1306	1114	1092
ENSDARG00000078717	891	944	829	791
ENSDARG00000080842	0	0	0	0
ENSDARG00000079788	772	780	922	834
ENSDARG00000021808	1215	1326	1099	1140
ENSDARG00000040350	189	235	272	245
