Geneid	Control_1	Control_2	Treat_1	Treat_2
ENSDARG00000012458	5403	6227	5611	5488
ENSDARG00000070543	1167	1359	1191	1034
ENSDARG00000094298	0	0	0	0
ENSDARG00000089873	2	6	7	2
ENSDARG00000093438	307	418	319	263
ENSDARG00000094206	100	76	20	34
ENSDARG00000037758	20	10	10	18
ENSDARG00000008723	1997	1987	1899	1601
ENSDARG00000058460	19	19	30	23
ENSDARG00000088975	546	537	453	469
ENSDARG00000100949	0	0	0	0
ENSDARG00000093053	0	0	0	0
ENSDARG00000058463	1974	2558	2399	2293
ENSDARG00000076716	179	175	233	201
ENSDARG00000058464	14	34	11	11
ENSDARG00000058471	484	539	847	752
ENSDARG00000096584	0	0	2	0
ENSDARG00000058475	414	440	535	439
ENSDARG00000080404	0	0	0	0
ENSDARG00000058480	239	217	384	374
ENSDARG00000024740	128	109	128	132
ENSDARG00000101597	675	701	683	511
ENSDARG00000058445	867	892	692	723
ENSDARG00000063169	120	139	140	120
ENSDARG00000092791	6	5	6	5
ENSDARG00000037760	519	591	461	378
ENSDARG00000017834	236	285	178	186
ENSDARG00000074282	1527	1658	1581	1539
ENSDARG00000074372	452	417	419	313
ENSDARG00000104203	46	49	43	32
ENSDARG00000101495	363	287	361	388
ENSDARG00000099276	814	719	718	705
ENSDARG00000091916	1330	1095	850	1002
ENSDARG00000104995	214	236	282	250
ENSDARG00000033852	362	435	582	458
ENSDARG00000037654	269	356	395	388
ENSDARG00000037652	286	293	373	287
ENSDARG00000037646	283	365	288	264
ENSDARG00000032795	752	731	769	680
ENSDARG00000018263	7726	7675	7282	7133
ENSDARG00000077542	25	29	17	27
ENSDARG00000070490	1	2	0	0
ENSDARG00000015678	4	2	0	0
ENSDARG00000079043	96	28	82	65
ENSDARG00000076174	854	916	784	644
ENSDARG00000037647	941	1079	895	850
ENSDARG00000008969	4477	4513	9061	9000
ENSDARG00000020741	5671	5799	10771	10937
ENSDARG00000104660	491	409	468	442
ENSDARG00000096594	117	123	100	93
ENSDARG00000077652	801	781	586	615
ENSDARG00000079452	4	8	8	4
ENSDARG00000089943	71	72	71	46
ENSDARG00000096536	0	0	0	0
ENSDARG00000077533	9605	8810	9542	10195
ENSDARG00000030563	392	479	381	390
ENSDARG00000026387	318	315	286	237
ENSDARG00000070495	88	57	60	45
ENSDARG00000084766	0	1	0	0
ENSDARG00000034785	404	412	377	380
ENSDARG00000070512	662	661	678	665
ENSDARG00000070504	101	59	90	49
ENSDARG00000062057	12	9	16	16
ENSDARG00000070502	23	22	18	18
ENSDARG00000103508	0	0	0	0
ENSDARG00000067992	29	37	38	70
ENSDARG00000096564	86	56	172	150
ENSDARG00000037679	820	641	928	980
ENSDARG00000076833	7104	6365	6709	6136
ENSDARG00000012297	335	303	269	204
ENSDARG00000087107	52	40	23	26
ENSDARG00000099342	40	23	32	46
ENSDARG00000008487	2863	3645	3267	2718
ENSDARG00000084839	0	0	2	0
ENSDARG00000100507	0	0	0	0
ENSDARG00000070239	337	367	532	372
ENSDARG00000074379	121	111	189	180
ENSDARG00000062854	548	754	637	525
ENSDARG00000092242	0	3	4	0
ENSDARG00000092200	2	18	5	4
ENSDARG00000093636	11	7	12	20
ENSDARG00000095482	4	1	7	13
ENSDARG00000094981	0	8	1	0
ENSDARG00000037619	29	37	43	22
ENSDARG00000062585	367	512	461	420
ENSDARG00000074213	102	122	115	114
ENSDARG00000062606	515	568	337	316
ENSDARG00000077198	54	20	29	18
ENSDARG00000037621	15	17	19	18
ENSDARG00000007678	7286	8433	7138	6243
ENSDARG00000089930	518	516	400	372
ENSDARG00000078057	428	624	490	411
ENSDARG00000070448	2398	2441	2169	1959
ENSDARG00000070449	1484	1539	1570	1226
ENSDARG00000042988	2946	3666	2832	2813
ENSDARG00000096506	5	23	41	30
ENSDARG00000070452	786	804	778	775
ENSDARG00000070454	451	511	607	626
ENSDARG00000096515	5	4	2	1
ENSDARG00000038114	177	182	206	174
ENSDARG00000008637	1975	2132	3108	2964
ENSDARG00000091609	703	771	573	682
ENSDARG00000002634	369	454	388	436
ENSDARG00000062467	217	226	218	204
ENSDARG00000032808	43	18	31	19
ENSDARG00000078318	335	321	403	302
ENSDARG00000018997	3548	4181	3347	2929
ENSDARG00000099771	828	761	871	792
ENSDARG00000045620	643	732	898	792
ENSDARG00000045618	4981	5155	5252	5098
ENSDARG00000057248	424	503	462	379
ENSDARG00000017985	514	486	479	568
ENSDARG00000104707	0	0	0	0
ENSDARG00000102049	0	0	0	0
ENSDARG00000099729	1464	1761	1610	1370
ENSDARG00000105122	0	0	0	0
ENSDARG00000098668	21	5	2	0
ENSDARG00000098053	0	0	0	0
ENSDARG00000102604	0	0	0	0
ENSDARG00000102339	14	5	0	1
ENSDARG00000089805	1409	1386	1249	1205
ENSDARG00000078525	293	336	303	325
ENSDARG00000079626	1523	1635	1550	1495
ENSDARG00000057114	537	600	731	571
ENSDARG00000009026	2568	3244	2729	2490
ENSDARG00000085400	0	0	0	1
ENSDARG00000014273	4781	5248	4176	3531
